0,1
0,"[3867, 3868]"
1,[2314]
3,[2284]
4,[2464]
7,[2419]
8,[2210]
10,[3869]
13,[2390]
14,[2360]
15,[2375]
18,[2449]
21,[2434]
26,[2269]
29,[2509]
31,[2525]
42,[3853]
2,[3792]
5,[2463]
6,[3807]
9,[3821]
11,[2584]
12,[2389]
16,[3942]
17,[2450]
19,[3808]
20,[3793]
22,[3762]
23,[2359]
24,[2330]
25,[3897]
27,[2524]
28,[3718]
30,[3913]
32,[3958]
33,[2630]
34,[4064]
35,[2763]
36,[3734]
37,[2734]
38,[2735]
39,[3989]
40,[2705]
41,[3854]
43,[2494]
44,[3748]
45,[3733]
46,[2583]
47,[3689]
48,[2658]
49,[3539]
50,[2703]
51,[3599]
52,[2748]
53,[3569]
54,[3568]
55,[2538]
56,[3538]
57,[2402]
58,[3402]
59,[2372]
60,[3358]
61,[3357]
62,[2221]
63,[3281]
64,[3282]
65,[3283]
66,[2431]
67,[3372]
68,[2416]
69,[3387]
70,[3388]
71,[2657]
72,[3509]
73,[2672]
74,[3449]
75,[2732]
76,[3389]
77,[2776]
78,[3299]
79,[2641]
80,[3179]
81,[2551]
82,[2550]
83,[2999]
84,[2685]
85,[3104]
86,[2610]
87,[3074]
88,[3073]
