0,1
0,"[2641, 2747, 3284]"
1,[3179]
3,[3208]
4,[3223]
5,[2626]
6,[3193]
7,[2656]
9,[3374]
17,[2671]
19,[2776]
24,[2732]
25,[3449]
26,[3434]
2,[2566]
8,[2672]
10,[2567]
11,[3388]
12,[2581]
13,[3329]
14,[2702]
15,[2701]
16,[3269]
18,[2775]
20,[3224]
21,[2791]
22,[3464]
23,[2733]
27,[2777]
28,[3419]
29,[2837]
30,[3389]
31,[2717]
32,[3404]
33,[2762]
34,[2761]
35,[3254]
36,[2746]
37,[3239]
38,[2836]
39,[2835]
40,[3029]
41,[3028]
42,[2655]
43,[3058]
44,[3043]
45,[2535]
46,[2938]
47,[2923]
48,[2565]
49,[2984]
50,[2670]
51,[3104]
52,[2610]
53,[3149]
54,[2625]
55,[3119]
56,[3118]
57,[2430]
58,[3163]
59,[2445]
60,[3133]
61,[2386]
62,[3267]
63,[2296]
64,[2281]
65,[3297]
66,[2416]
67,[3343]
68,[2477]
69,[3463]
