0,1
0,"[571, 3333, 572]"
1,[3107]
3,[586]
4,[3437]
6,[707]
7,[573]
12,[3392]
15,[3407]
17,"[511, 3242]"
19,[3182]
27,[3153]
28,[3197]
31,[3212]
33,[601]
38,[646]
41,[722]
2,[3138]
5,[3602]
8,[3498]
9,[3483]
10,[3497]
11,[3482]
13,[527]
14,[662]
16,[3168]
18,[645]
20,[3093]
21,[630]
22,[675]
23,[3123]
24,[3032]
25,[615]
26,[600]
29,[661]
30,[526]
32,[3227]
34,[676]
35,[3303]
36,[3243]
37,[691]
39,[3318]
40,[3273]
42,[737]
43,[3363]
44,[3408]
45,[767]
46,[3393]
47,[752]
48,[842]
49,[3334]
50,[3484]
51,[872]
52,[827]
53,[3439]
54,"[812, 3529]"
55,[3424]
56,[3530]
57,[962]
58,[1098]
59,[3500]
60,[1083]
61,[3485]
62,[3455]
63,[992]
64,[1142]
65,[3470]
66,[3410]
67,[1067]
68,[1097]
69,[3350]
70,[3320]
71,"[3290, 1006]"
72,[3321]
73,[1112]
74,[1262]
75,[3351]
76,[3411]
77,[1232]
78,[1247]
79,[3441]
80,[3456]
81,[1337]
82,[3471]
83,[1322]
84,[1308]
85,[3517]
