0,1
0,"[3866, 2059]"
1,[2119]
3,[2134]
7,"[3955, 2060]"
8,[2030]
11,[3775]
15,[2058]
19,[3881]
20,[2165]
21,[3851]
22,[2104]
25,[3896]
26,[2015]
27,[3925]
2,[3761]
4,[3731]
5,[4241]
6,[2061]
9,[3790]
10,[1999]
12,[2089]
13,[3836]
14,[3701]
16,[3625]
17,[2043]
18,[3595]
23,[3730]
24,[2105]
28,[2120]
29,[3986]
30,[3971]
31,[2150]
32,[3911]
33,[3910]
34,[3909]
35,[1894]
36,[3924]
37,[1864]
38,[3880]
39,[3895]
40,[1835]
41,[3969]
42,[1865]
43,[3999]
44,[1880]
45,[4014]
46,[4013]
47,[1685]
48,[3953]
49,[1655]
50,[3818]
51,[1670]
52,[3894]
53,[3879]
54,[1760]
55,[3923]
56,[1640]
57,[3848]
58,[1534]
59,[3833]
60,[1609]
61,[3743]
62,[3728]
63,[1669]
64,[3788]
65,[1564]
66,[3698]
67,[3713]
68,[1548]
69,[1533]
70,[3638]
71,[3639]
72,[3640]
73,[3641]
